"County 
FIPS 
code [1]",Size of adjusted gross income by county,
,,Amount
099,"$1 under $10,000",15433
099,"$10,000 under $25,000",100512
099,"$25,000 under $50,000",349048
099,"$50,000 under $75,000",330751
099,"$75,000 under $100,000",240249
099,"$100,000 under $200,000",450386
099,"$200,000 or more",312279
,,
101,Cottle County,"27,647"
101,Under $1,-989
101,"$1 under $10,000",398
101,"$10,000 under $25,000",1847
101,"$25,000 under $50,000",4980
101,"$50,000 under $75,000",5473
101,"$75,000 under $100,000",4408
101,"$100,000 under $200,000",11530
101,"$200,000 or more",**
,,
103,Crane County,"141,813"
103,Under $1,**
103,"$1 under $10,000",446
103,"$10,000 under $25,000",5558
103,"$25,000 under $50,000",15208
103,"$50,000 under $75,000",20410
103,"$75,000 under $100,000",23634
103,"$100,000 under $200,000",53306
103,"$200,000 or more",23251
,,
105,Crockett County,"98,213"
105,Under $1,-1475
105,"$1 under $10,000",793
105,"$10,000 under $25,000",4564
105,"$25,000 under $50,000",11970
105,"$50,000 under $75,000",12305
105,"$75,000 under $100,000",11869
105,"$100,000 under $200,000",29084
105,"$200,000 or more",29103
,,
107,Crosby County,"119,441"
107,Under $1,-1523
107,"$1 under $10,000",1179
107,"$10,000 under $25,000",8424
107,"$25,000 under $50,000",24574
107,"$50,000 under $75,000",18911
107,"$75,000 under $100,000",14486
107,"$100,000 under $200,000",27177
107,"$200,000 or more",26213
,,
109,Culberson County,"64,380"
109,Under $1,**
109,"$1 under $10,000",220
109,"$10,000 under $25,000",4486
109,"$25,000 under $50,000",9605
109,"$50,000 under $75,000",7484
109,"$75,000 under $100,000",7666
109,"$100,000 under $200,000",23839
109,"$200,000 or more",11080
,,
111,Dallam County,"241,656"
111,Under $1,-12530
111,"$1 under $10,000",1794
111,"$10,000 under $25,000",10190
111,"$25,000 under $50,000",39259
111,"$50,000 under $75,000",39482
111,"$75,000 under $100,000",24669
111,"$100,000 under $200,000",44959
111,"$200,000 or more",93833
,,
113,Dallas County,"131,483,565"
113,Under $1,-1720677
113,"$1 under $10,000",612778
113,"$10,000 under $25,000",4353991
113,"$25,000 under $50,000",11753006
113,"$50,000 under $75,000",11631117
113,"$75,000 under $100,000",8897602
113,"$100,000 under $200,000",20028336
113,"$200,000 or more",75927412
,,
115,Dawson County,"329,415"
115,Under $1,-10295
115,"$1 under $10,000",2711
115,"$10,000 under $25,000",15871
115,"$25,000 under $50,000",39235
115,"$50,000 under $75,000",42160
115,"$75,000 under $100,000",36211
115,"$100,000 under $200,000",77037
115,"$200,000 or more",126485
,,
117,Deaf Smith County,"486,171"
117,Under $1,-12676
117,"$1 under $10,000",4316
117,"$10,000 under $25,000",29924
117,"$25,000 under $50,000",82133
117,"$50,000 under $75,000",92982
117,"$75,000 under $100,000",60268
117,"$100,000 under $200,000",85951
117,"$200,000 or more",143273
,,
119,Delta County,"129,014"
119,Under $1,-10879
119,"$1 under $10,000",1176
119,"$10,000 under $25,000",6942
119,"$25,000 under $50,000",22554
119,"$50,000 under $75,000",19697
119,"$75,000 under $100,000",19694
119,"$100,000 under $200,000",45840
119,"$200,000 or more",23990
,,
121,Denton County,"54,477,796"
121,Under $1,-628121
121,"$1 under $10,000",207197
121,"$10,000 under $25,000",1113676
121,"$25,000 under $50,000",3229541
121,"$50,000 under $75,000",3885618
121,"$75,000 under $100,000",3827572
121,"$100,000 under $200,000",13834588
121,"$200,000 or more",29007725
,,
123,DeWitt County,"1,000,907"
123,Under $1,-5519
123,"$1 under $10,000",4938
123,"$10,000 under $25,000",29851
123,"$25,000 under $50,000",69996
123,"$50,000 under $75,000",70782
123,"$75,000 under $100,000",64683
123,"$100,000 under $200,000",154361
123,"$200,000 or more",611815
,,
125,Dickens County,"39,639"
125,Under $1,-1781
125,"$1 under $10,000",454
125,"$10,000 under $25,000",2462
125,"$25,000 under $50,000",5868
125,"$50,000 under $75,000",5964
125,"$75,000 under $100,000",7569
125,"$100,000 under $200,000",12267
125,"$200,000 or more",6836
,,
127,Dimmit County,"204,569"
127,Under $1,-2056
127,"$1 under $10,000",2578
127,"$10,000 under $25,000",17058
127,"$25,000 under $50,000",36868
127,"$50,000 under $75,000",34561
127,"$75,000 under $100,000",23791
127,"$100,000 under $200,000",43643
127,"$200,000 or more",48126
,,
129,Donley County,"67,175"
129,Under $1,-4655
129,"$1 under $10,000",1139
129,"$10,000 under $25,000",5193
129,"$25,000 under $50,000",11744
129,"$50,000 under $75,000",10991
129,"$75,000 under $100,000",9033
129,"$100,000 under $200,000",21394
129,"$200,000 or more",12336
,,
131,Duval County,"199,178"
131,Under $1,-2955
131,"$1 under $10,000",2986
131,"$10,000 under $25,000",22773
131,"$25,000 under $50,000",39080
131,"$50,000 under $75,000",35017
131,"$75,000 under $100,000",28677
131,"$100,000 under $200,000",49817
131,"$200,000 or more",23783
,,
133,Eastland County,"484,810"
133,Under $1,-17882
133,"$1 under $10,000",4637
133,"$10,000 under $25,000",26869
133,"$25,000 under $50,000",72843
133,"$50,000 under $75,000",65483
133,"$75,000 under $100,000",61301
133,"$100,000 under $200,000",121322
133,"$200,000 or more",150237
,,
135,Ector County,"5,076,482"
135,Under $1,-36701
135,"$1 under $10,000",36148
135,"$10,000 under $25,000",237175
135,"$25,000 under $50,000",636173
135,"$50,000 under $75,000",727840
135,"$75,000 under $100,000",678521
135,"$100,000 under $200,000",1549432
135,"$200,000 or more",1247894
,,
137,Edwards County,"56,007"
137,Under $1,-970
137,"$1 under $10,000",511
137,"$10,000 under $25,000",2734
137,"$25,000 under $50,000",6123
137,"$50,000 under $75,000",6101
137,"$75,000 under $100,000",6329
137,"$100,000 under $200,000",15779
137,"$200,000 or more",19400
,,
139,Ellis County,"8,146,965"
139,Under $1,-54143
139,"$1 under $10,000",46425
139,"$10,000 under $25,000",287557
139,"$25,000 under $50,000",823987
139,"$50,000 under $75,000",944323
139,"$75,000 under $100,000",905288
139,"$100,000 under $200,000",2703409
139,"$200,000 or more",2490119
,,
141,El Paso County,"23,285,605"
141,Under $1,-109439
141,"$1 under $10,000",244966
141,"$10,000 under $25,000",1829414
141,"$25,000 under $50,000",4183554
141,"$50,000 under $75,000",3619957
141,"$75,000 under $100,000",2565695
141,"$100,000 under $200,000",5063886
141,"$200,000 or more",5887572
,,
143,Erath County,"1,278,619"
143,Under $1,-49545
143,"$1 under $10,000",10601
143,"$10,000 under $25,000",58956
143,"$25,000 under $50,000",159522
