,Name,Mean_Temp,Median_Temp,STD_Temp,Min_Temp,Max_Temp
32,Carson County,60.1,59.6,1.1423659658795877,59.0,61.9
33,Cass County,65.98,66.4,0.9576011695899325,64.9,66.9
34,Castro County,59.52,59.9,1.156287161564982,58.2,61.0
35,Chambers County,71.03999999999999,71.5,0.9889388252060852,69.7,72.0
36,Cherokee County,67.3,67.7,0.7778174593052006,66.2,68.1
37,Childress County,64.12,63.9,0.9884331034521284,63.0,65.7
38,Clay County,65.47999999999999,65.3,1.1344602240713397,64.0,66.8
39,Cochran County,60.54,60.9,0.9555103348473022,59.5,61.7
40,Coke County,66.72,67.1,1.323631368621939,64.7,68.1
41,Coleman County,67.02000000000001,67.0,1.1099549540409273,65.3,68.0
42,Collin County,66.72,66.5,0.936482781475453,65.9,68.2
43,Collingsworth County,62.339999999999996,62.1,0.9736529155710475,61.3,63.9
44,Colorado County,72.1,72.3,1.1067971810589265,70.9,73.2
45,Comal County,70.16,70.9,1.2320714265009212,68.5,71.3
46,Comanche County,67.47999999999999,67.4,1.0305338422390597,65.9,68.5
47,Concho County,67.12,67.3,1.1606032913963296,65.4,68.2
48,Cooke County,65.41999999999999,65.3,1.0616025621672236,64.1,66.8
49,Coryell County,67.96000000000001,68.0,1.0784247771634325,66.4,69.1
50,Cottle County,64.53999999999999,64.2,0.915423399307666,63.6,65.9
51,Crane County,68.4,69.2,1.343502884254452,66.8,69.7
52,Crockett County,67.86,68.4,1.2461942063739406,66.2,69.1
53,Crosby County,62.7,62.7,0.9513148795220188,61.6,64.1
54,Culberson County,64.32000000000001,64.8,1.1432410069622196,62.7,65.5
55,Dallam County,56.239999999999995,56.3,0.8049844718999264,55.4,57.5
56,Dallas County,67.64000000000001,67.4,0.8734987120769055,66.7,68.7
57,Dawson County,63.82000000000001,64.2,1.1966620241321257,62.1,65.2
58,DeWitt County,72.46000000000001,73.2,1.3011533345459323,71.0,73.7
59,Deaf Smith County,58.879999999999995,59.0,1.0256705123966434,57.7,60.3
60,Delta County,65.52000000000001,65.3,0.8729261137118056,64.4,66.5
61,Denton County,66.88,66.8,1.0329569206893359,65.6,68.1
62,Dickens County,64.17999999999999,64.1,0.8757853618324511,63.0,65.3
63,Dimmit County,73.6,74.1,1.234908903522845,72.2,75.0
64,Donley County,61.56,61.3,0.9889388252060899,60.6,63.1
65,Duval County,74.26,74.7,1.234098861517991,72.8,75.5
66,Eastland County,66.38,66.6,1.1189280584559511,64.6,67.4
67,Ector County,66.38,67.0,1.3274034804836137,64.8,67.6
68,Edwards County,68.52000000000001,68.7,1.1497825881443884,67.3,69.9
69,El Paso County,66.06,66.4,1.2198360545581541,64.5,67.6
70,Ellis County,67.7,67.5,0.9407443861113433,66.5,68.7
71,Erath County,67.67999999999999,67.7,1.0425929215182697,66.0,68.6
72,Falls County,68.24,68.2,0.9016651263079858,67.1,69.4
73,Fannin County,65.62,65.3,0.8438009243891552,64.7,66.7
74,Fayette County,71.64,72.1,1.2641202474448383,70.1,72.9
75,Fisher County,66.08,66.3,1.1366617790706295,64.3,67.3
76,Floyd County,61.2,61.2,0.908295106229247,60.3,62.6
77,Foard County,65.26,65.0,1.0502380682492871,63.9,66.7
78,Fort Bend County,72.06,72.2,0.8294576541331076,71.2,72.9
79,Franklin County,65.7,65.7,1.0246950765959597,64.4,66.8
80,Freestone County,67.76,68.2,1.1371015785759824,66.4,68.9
81,Frio County,72.47999999999999,72.7,1.1300442469213332,71.0,73.8
82,Gaines County,63.32000000000001,63.7,1.1189280584559498,61.9,64.5
83,Galveston County,71.97999999999999,72.1,0.7854934754662145,70.9,72.8
84,Garza County,64.86,65.1,1.1970797801316335,63.2,66.3
85,Gillespie County,67.36,67.5,1.0212737145349413,65.8,68.3
86,Glasscock County,66.17999999999999,66.8,1.1734564329364694,64.5,67.1
87,Goliad County,72.67999999999999,73.2,1.1432410069622174,71.4,73.8
88,Gonzales County,72.26,73.0,1.4959946523968595,70.4,73.6
89,Gray County,60.6,60.4,1.26293309403151,59.4,62.6
90,Grayson County,65.66,65.6,0.9736529155710485,64.6,67.0
91,Gregg County,66.42,67.0,1.0377861051295667,65.1,67.3
92,Grimes County,69.94,70.2,1.013903348450923,68.6,71.0
93,Guadalupe County,71.56,72.2,1.364917579929282,69.8,72.7
94,Hale County,60.58,60.7,0.9884331034521235,59.6,62.1
95,Hall County,63.52,63.2,0.9038805230781363,62.6,64.9
96,Hamilton County,67.64,67.7,1.0502380682492898,66.0,68.6
97,Hansford County,59.3,59.1,1.022252415013042,58.3,60.9
98,Hardeman County,64.76,64.6,1.0212737145349435,63.5,66.3
99,Hardin County,69.42,69.6,1.0401922899156684,68.3,70.6
100,Harris County,71.76,72.2,0.9343446901438491,70.7,72.6
101,Harrison County,66.42,67.0,0.8899438184514776,65.4,67.2
102,Hartley County,57.5,57.4,0.8631338250816046,56.7,58.9
103,Haskell County,66.14,66.1,1.260158720161866,64.3,67.5
104,Hays County,69.7,70.4,1.2144957801491068,68.1,70.8
105,Hemphill County,60.36,60.2,1.3107249902248772,59.3,62.5
106,Henderson County,66.67999999999999,67.0,1.080277742064512,65.3,67.7
107,Hidalgo County,76.32,77.1,1.3292855223765823,74.6,77.6
108,Hill County,67.8,67.7,0.9695359714832636,66.5,68.8
109,Hockley County,61.17999999999999,61.4,0.9523654760647294,60.2,62.5
110,Hood County,67.62,67.6,1.1388590782006347,65.9,68.7
111,Hopkins County,65.6,65.5,0.9746794344809018,64.3,66.7
112,Houston County,67.92,68.2,0.7726577508832809,67.0,68.7
113,Howard County,65.96000000000001,66.5,1.2778888840583895,64.0,67.2
114,Hudspeth County,63.82000000000001,64.3,1.025670512396648,62.3,64.9
115,Hunt County,66.16,66.0,0.9071934744033422,65.1,67.4
116,Hutchinson County,60.82000000000001,60.4,1.1300442469213314,59.7,62.5
117,Irion County,66.7,66.9,1.146734494117974,65.0,67.9
118,Jack County,65.53999999999999,65.6,1.2759310326189306,63.8,66.8
119,Jackson County,72.38000000000001,72.9,0.9959919678390988,71.2,73.2
120,Jasper County,68.46,68.5,0.9181503144910382,67.5,69.6
121,Jeff Davis County,63.46,63.9,1.2461942063739497,61.7,64.8
122,Jefferson County,70.56,70.7,1.1349008767288846,69.3,71.8
123,Jim Hogg County,75.24,75.7,1.1282730166054686,73.8,76.4
124,Jim Wells County,74.32000000000001,74.9,1.0545141061171237,72.9,75.3
125,Johnson County,67.38000000000001,67.2,1.0545141061171237,65.9,68.4
126,Jones County,66.12,66.3,1.1777096416349893,64.3,67.4
127,Karnes County,72.1,72.8,1.1979148550710903,70.7,73.2
128,Kaufman County,66.88,66.8,0.8318653737234196,65.8,67.8
129,Kendall County,68.64,69.1,1.059716943339114,67.1,69.6
130,Kenedy County,75.36,75.9,1.169615321377076,73.7,76.5
131,Kent County,65.66,65.8,1.0089598604503525,64.2,66.8
132,Kerr County,67.1,67.3,1.0222524150130445,65.6,68.1
133,Kimble County,67.17999999999999,67.2,1.0986355173577793,65.6,68.3
