,Name,Mean_Temp,Median_Temp,STD_Temp,Min_Temp,Max_Temp,Mean_Rain,Median_Rain,STD_Rain,Min_Rain,Max_Rain
209,Shelby County,67.28,67.5,0.6906518659932817,66.5,68.0,53.854,49.22,14.622109286966776,41.52,78.78
210,Sherman County,58.260000000000005,57.9,0.7829431652425377,57.7,59.6,16.330000000000002,18.13,4.48222043188418,9.44,21.1
211,Smith County,66.1,66.5,0.9924716620639616,64.8,67.0,46.744,46.71,7.966522453366967,39.03,59.13
212,Somervell County,67.86,67.8,1.035857133006292,66.3,68.9,35.9,37.35,7.32440782589282,23.3,42.23
213,Starr County,76.26,76.7,1.158878768465448,74.7,77.4,19.996,19.89,3.631030156856316,15.75,25.7
214,Stephens County,66.34,66.8,1.3315404612703297,64.3,67.7,28.692,30.78,5.547149718549159,22.24,34.59
215,Sterling County,66.36,66.8,1.2218837915284697,64.5,67.5,15.419999999999998,17.0,3.318101867031812,10.31,18.21
216,Stonewall County,65.94,66.0,1.0807404868885069,64.3,67.0,22.206,21.45,5.301908147073091,14.54,28.41
217,Sutton County,67.46,67.5,1.0114346246792252,66.3,68.6,19.05,18.68,4.613263486947174,12.91,24.74
218,Swisher County,60.220000000000006,60.3,0.9959919678391028,59.3,61.7,18.816,20.16,2.988850949779865,13.85,21.01
219,Tarrant County,67.58,67.5,1.103177229641729,66.1,68.8,33.226,32.36,2.044976772484225,31.41,36.63
220,Taylor County,66.14000000000001,66.4,1.20540449642433,64.2,67.3,23.436,23.81,5.43933176042793,16.95,30.8
221,Terrell County,69.38,70.2,1.3736811857195934,67.7,70.7,11.006,10.7,1.9490587471905512,9.29,14.27
222,Terry County,62.379999999999995,62.6,1.070980858839224,61.1,63.7,15.276,15.67,1.9757985727295175,12.69,17.83
223,Throckmorton County,66.28,66.5,1.3498148021117546,64.3,67.8,26.702,26.11,4.245370419645381,21.88,31.22
224,Titus County,66.14000000000001,66.4,1.1674759098156997,64.7,67.5,47.672,46.1,6.180964326057869,41.44,58.06
225,Tom Green County,67.0,66.9,1.178982612255166,65.3,68.3,20.448,20.35,4.101520449784445,14.1,24.79
226,Travis County,69.72,70.1,1.112205017071939,68.3,70.8,29.226,28.15,6.080479421887719,22.52,38.93
227,Trinity County,68.6,68.7,0.7416198487095713,67.8,69.5,51.84,47.61,13.30604937612964,41.81,74.66
228,Tyler County,68.47999999999999,68.6,0.925742944882642,67.4,69.6,55.374,51.34,15.565573551912566,38.34,79.78
229,Upshur County,66.08,66.6,1.0616025621672185,64.7,67.1,48.928,46.51,7.958433891162255,41.6,62.36
230,Upton County,67.62,68.4,1.3663820841916794,65.9,68.9,10.322,10.09,1.7084993415275291,7.75,12.22
231,Uvalde County,71.35999999999999,71.6,1.087658034494297,70.0,72.6,19.172,21.51,4.286935968731047,13.85,23.34
232,Val Verde County,70.67999999999999,71.3,1.287245120402481,69.2,72.0,12.77,13.24,1.217723285479916,11.1,14.05
233,Van Zandt County,66.1,66.1,0.9874208829065776,64.8,67.2,45.05800000000001,43.96,8.694119851945912,35.64,59.11
234,Victoria County,72.64,73.2,1.0526157893552597,71.4,73.6,36.548,35.59,8.564059784938447,27.56,50.45
235,Walker County,69.22,69.5,0.9731392500562296,67.8,70.2,49.266,43.59,12.89800100790816,40.68,71.52
236,Waller County,71.44,71.8,0.9939818911831332,70.1,72.3,39.96,35.91,9.516065363373668,29.59,52.67
237,Ward County,68.12,68.8,1.3217412757419655,66.5,69.4,7.692,8.96,2.2595729685053323,4.32,9.57
238,Washington County,70.86,71.3,1.154556191789725,69.3,71.9,37.94199999999999,33.66,9.10698468209978,27.75,49.37
239,Webb County,74.53999999999999,74.9,1.2895735729302202,73.0,76.2,17.676,18.64,2.933177457979657,13.62,20.45
240,Wharton County,72.12,72.4,1.013410084812657,71.0,73.1,41.989999999999995,37.36,10.823275844216482,32.55,57.86
241,Wheeler County,61.4,61.2,1.1768602295939794,60.3,63.3,22.546,22.69,2.3891693117064765,19.0,25.05
242,Wichita County,65.42,65.2,1.0733126291998978,64.0,66.8,28.446000000000005,26.91,5.118332736350775,22.48,34.43
243,Wilbarger County,65.3,65.3,1.0511898020814352,63.9,66.7,25.389999999999997,25.96,2.2393860765843843,22.61,27.97
244,Willacy County,75.82000000000001,76.4,1.2637246535539275,74.1,77.1,29.182,30.92,6.980377496955303,21.79,39.08
245,Williamson County,69.14,69.4,1.2033287165193034,67.6,70.3,30.08,32.15,4.879933401184896,23.59,35.12
246,Wilson County,71.74000000000001,72.4,1.1970797801316344,70.2,72.7,26.139999999999997,26.79,7.847907364387019,16.73,36.96
247,Winkler County,66.76,67.5,1.3520355024924529,65.1,68.0,7.742,7.87,2.2718428642844115,4.32,9.79
248,Wise County,66.2,66.1,1.124722187920195,64.7,67.4,32.708,34.68,4.724121082275516,26.17,38.17
249,Wood County,65.86,66.0,1.0807404868884949,64.4,67.1,46.884,44.71,7.638506398504879,40.35,60.03
250,Yoakum County,61.760000000000005,62.1,1.0478549517943818,60.5,62.7,12.886,14.26,2.450332630481013,10.0,15.05
251,Young County,65.92,66.1,1.2969194269498765,64.1,67.3,28.944,29.65,4.778062368785071,23.58,34.09
252,Zapata County,76.02000000000001,76.2,1.1278297743897396,74.6,77.4,17.434,18.88,3.3270226930395297,13.44,21.39
253,Zavala County,72.94,73.4,1.1304866208850115,71.6,74.2,17.218,16.62,3.0762915986622588,14.51,22.48
