Name,Mean_Rain,Median_Rain,STD_Rain,Min_Rain,Max_Rain
Wilbarger County,25.389999999999997,25.96,2.2393860765843843,22.61,27.97
Willacy County,29.182,30.92,6.980377496955303,21.79,39.08
Williamson County,30.080000000000002,32.15,4.879933401184896,23.59,35.12
Wilson County,26.139999999999997,26.79,7.847907364387019,16.73,36.96
Winkler County,7.742,7.87,2.2718428642844115,4.32,9.79
Wise County,32.708,34.68,4.724121082275516,26.17,38.17
Wood County,46.884,44.71,7.638506398504879,40.35,60.03
Yoakum County,12.886000000000001,14.26,2.450332630481013,10.0,15.05
Young County,28.944,29.65,4.778062368785071,23.58,34.09
Zapata County,17.434,18.88,3.3270226930395297,13.44,21.39
Zavala County,17.218,16.62,3.0762915986622588,14.51,22.48
